training_category,training_type,run,run_date,run_time,status,epoch,global_step,train_examples,validation_examples,train_runtime_s,train_steps_per_second,train_samples_per_second,train_loss,benchmark_size,valid_json_rate,response_type_accuracy,report_path
category_prediction,stress_v2,v1-native-byte-transformer-stress-v2-20260410-010938,2026-04-10,01:09:38,running_benchmark,50.0,8550,682,61,1928.5648842999944,4.433348377129333,17.68154148071465,0.00031065166695043445,24,0.9583333333333334,0.8333333333333334,experiments\benchmark_report-v1-native-byte-transformer-stress-v2-20260410-010938.json
category_prediction,stress,v1-native-byte-transformer-stress-20260410-001955,2026-04-10,00:19:55,completed,50.0,8550,682,61,1896.379896199971,4.508590297298961,17.981629138935038,5.07585791638121e-05,44,1.0,1.0,C:\Users\jhand\Documents\Github\AiLanguageCore\experiments\benchmark_report-v1-native-byte-transformer-stress-20260410-001955.json
category_prediction,core,v1-native-byte-transformer-20260409-064838,2026-04-09,06:48:38,completed,50.0,8450,674,61,2410.356687,3.5057052118361436,13.981333211701543,8.243133197538555e-05,61,1.0,1.0,C:\Users\jhand\Documents\Github\AiLanguageCore\experiments\benchmark_report-v1-native-byte-transformer-20260409-064838.json
category_prediction,core,v1-native-byte-transformer-20260409-061251,2026-04-09,06:12:51,completed,50.0,8350,668,61,1911.588515,4.368094877364337,17.472379509457348,0.014732829295098782,61,1.0,1.0,C:\Users\jhand\Documents\Github\AiLanguageCore\experiments\benchmark_report-v1-native-byte-transformer-20260409-061251.json
category_prediction,core,v1-native-byte-transformer-20260409-053839,2026-04-09,05:38:39,completed,50.0,8350,668,61,1914.61688,4.361185826377964,17.444743305511857,4.742313831229694e-05,61,1.0,0.9672131147540983,C:\Users\jhand\Documents\Github\AiLanguageCore\experiments\benchmark_report-v1-native-byte-transformer-20260409-053839.json
category_prediction,core,v1-native-byte-transformer-20260409-050340,2026-04-09,05:03:40,completed,50.0,8350,666,61,1923.299956,4.341496485741094,17.313991973075257,5.256805525277741e-05,61,1.0,0.9836065573770492,C:\Users\jhand\Documents\Github\AiLanguageCore\experiments\benchmark_report-v1-native-byte-transformer-20260409-050340.json
category_prediction,core,v1-native-byte-transformer-20260409-042931,2026-04-09,04:29:31,completed,50.0,8300,662,61,1916.537594,4.330726423517263,17.270728267279686,4.291374716558494e-05,61,1.0,0.9672131147540983,C:\Users\jhand\Documents\Github\AiLanguageCore\experiments\benchmark_report-v1-native-byte-transformer-20260409-042931.json
category_prediction,core,v1-native-byte-transformer-20260409-035423,2026-04-09,03:54:23,completed,50.0,8250,659,61,1926.033713,4.283414119034167,17.107696390566762,2.2216472643776797e-05,61,1.0,0.9508196721311475,C:\Users\jhand\Documents\Github\AiLanguageCore\experiments\benchmark_report-v1-native-byte-transformer-20260409-035423.json
category_prediction,core,v1-native-byte-transformer-20260409-031956,2026-04-09,03:19:56,completed,50.0,8200,653,61,1903.882924,4.306987523566864,17.149163737129037,3.4416541893733665e-05,61,1.0,0.9836065573770492,C:\Users\jhand\Documents\Github\AiLanguageCore\experiments\benchmark_report-v1-native-byte-transformer-20260409-031956.json
category_prediction,core,v1-native-byte-transformer-20260409-024352,2026-04-09,02:43:52,completed,50.0,8150,649,61,1888.671794,4.315201839669132,17.181386465921882,0.00020324693468865007,61,1.0,1.0,C:\Users\jhand\Documents\Github\AiLanguageCore\experiments\benchmark_report-v1-native-byte-transformer-20260409-024352.json
